experiment_id,model_version,control_mode,baseline_policy,seed,num_nodes,scenario,duration_s,sync_messages,radio_active_time_s,radio_active_time_mean_per_node_s,estimated_energy_j,violation_events,violation_time_steps,affected_nodes,violation_rate_pct,mean_psm,median_psm,min_psm,p5_psm,negative_psm_frequency_pct,state_transitions,state_counts,beacon_count_estimated,pssp_count,prap_count,radio_wakeup_events_estimated,mean_sync_interval_ms,mean_tx_power_pct,mean_battery_percent,max_pe,mean_pe,mean_pt,control_action_count,invariant_violations,strategy
EXP-STA-10N-S42-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,42,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,36.36445331028941,36.23331253460314,14.502125110542572,22.740096417787072,0.0,15,"{'RELAXED': 4, 'NOMINAL': 5, 'ELEVATED': 1}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,91.25399999999989,52.38287488945743,26.380046689710586,62.7445,15,0,baseline
EXP-STA-10N-S43-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,43,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,34.00434017150111,34.180627146558955,7.850990459935296,18.502372070073005,0.0,21,"{'NOMINAL': 6, 'ELEVATED': 1, 'RELAXED': 3}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,90.80399999999989,53.99841945651819,28.74015982849889,62.7445,21,0,baseline
EXP-STA-10N-S44-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,44,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,40.63199768395089,42.61087846076114,11.46322377510544,21.860287954862688,0.0,13,"{'RELAXED': 6, 'NOMINAL': 4}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,91.8839999999999,48.31366218432092,22.112502316049113,62.7445,13,0,baseline
EXP-STA-10N-S45-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,45,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,36.19755732414861,37.10202487144447,20.20387286231149,24.808068585869286,0.0,22,"{'NOMINAL': 5, 'RELAXED': 5}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,89.7639999999999,46.1155360651437,26.546942675851394,62.7445,22,0,baseline
EXP-STA-10N-S46-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,46,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,32.634523658193324,29.3329973677967,8.294181438715341,13.733728085190101,0.0,23,"{'NOMINAL': 8, 'RELAXED': 2}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,92.25399999999989,50.47065692678461,30.10997634180668,62.7445,23,0,baseline
EXP-STA-10N-S47-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,47,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,37.3688695866353,34.72246127177317,14.334309860533395,22.693036165485495,0.0,16,"{'RELAXED': 4, 'NOMINAL': 5, 'ELEVATED': 1}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,91.99399999999989,52.55069013946661,25.375630413364703,62.7445,16,0,baseline
EXP-STA-10N-S48-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,48,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,38.1822244558536,39.25508000366994,10.306316197214052,21.693770893251052,0.0,17,"{'RELAXED': 6, 'NOMINAL': 4}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,92.49399999999989,46.74657172368309,24.562275544146402,62.7445,17,0,baseline
EXP-STA-10N-S49-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,49,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,56,3010,1,1.8604651162790697,36.25713953501032,37.79780713404488,-6.209547382959407,17.344825808929805,1.8604651162790697,12,"{'RELAXED': 5, 'NOMINAL': 4, 'IMMEDIATE': 1}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,90.0239999999999,57.6595473829594,26.48736046498969,62.7445,12,0,baseline
EXP-STA-10N-S50-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,50,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,32.7741843414112,31.499018517345796,9.519793472196575,18.33996601794929,0.0,7,"{'NOMINAL': 8, 'RELAXED': 2}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,91.2939999999999,48.6525551141078,29.970315658588802,62.7445,7,0,baseline
EXP-STA-10N-S51-BASE,"PSDT v1.0-sim (Temporal Closed-Loop Model, frozen for Sprint 11)",uniform,Uniform-Moderate,51,10,Scenario A: Stable,300.0,3000,48.000000000000036,4.800000000000003,61.79999999999896,0,3010,0,0.0,30.054337827759348,32.183029863930635,4.94670255918745,10.66282435951697,0.0,22,"{'NOMINAL': 7, 'ELEVATED': 3}",50166.66666666509,3000,3010,12040.0,1000.0,50.0,92.6039999999999,54.44745000201871,32.690162172240655,62.7445,22,0,baseline
