strategy,node_id,body_zone,step,timestamp,from_state,to_state
Uniform,HN-001,Fingertip,272,272.0,NOMINAL,RELAXED
Uniform,HN-002,Fingertip,86,86.0,RELAXED,NOMINAL
Uniform,HN-002,Fingertip,155,155.0,NOMINAL,RELAXED
Uniform,HN-002,Fingertip,249,249.0,RELAXED,NOMINAL
Uniform,HN-003,Fingertip,166,166.0,RELAXED,NOMINAL
Uniform,HN-003,Fingertip,183,183.0,NOMINAL,RELAXED
Uniform,HN-004,Fingertip,141,141.0,RELAXED,NOMINAL
Uniform,HN-004,Fingertip,193,193.0,NOMINAL,RELAXED
Uniform,HN-004,Fingertip,297,297.0,RELAXED,NOMINAL
Uniform,HN-005,Fingertip,46,46.0,NOMINAL,ELEVATED
Uniform,HN-005,Fingertip,58,58.0,ELEVATED,NOMINAL
Uniform,HN-005,Fingertip,80,80.0,NOMINAL,ELEVATED
Uniform,HN-005,Fingertip,101,101.0,ELEVATED,NOMINAL
Uniform,HN-005,Fingertip,214,214.0,NOMINAL,ELEVATED
Uniform,HN-006,Fingertip,31,31.0,NOMINAL,RELAXED
Uniform,HN-007,Hand,44,44.0,RELAXED,NOMINAL
Uniform,HN-008,Hand,88,88.0,NOMINAL,ELEVATED
Uniform,HN-008,Hand,139,139.0,ELEVATED,NOMINAL
Uniform,HN-009,Hand,89,89.0,NOMINAL,ELEVATED
Uniform,HN-009,Hand,162,162.0,ELEVATED,NOMINAL
Uniform,HN-009,Hand,295,295.0,NOMINAL,ELEVATED
Uniform,HN-010,Hand,91,91.0,RELAXED,NOMINAL
Uniform,HN-010,Hand,102,102.0,NOMINAL,RELAXED
Uniform,HN-010,Hand,258,258.0,RELAXED,NOMINAL
Uniform,HN-011,Forearm,216,216.0,RELAXED,NOMINAL
Uniform,HN-011,Forearm,253,253.0,NOMINAL,RELAXED
Uniform,HN-012,Forearm,208,208.0,RELAXED,NOMINAL
Uniform,HN-012,Forearm,270,270.0,NOMINAL,RELAXED
Uniform,HN-012,Forearm,295,295.0,RELAXED,NOMINAL
Uniform,HN-014,Forearm,144,144.0,NOMINAL,ELEVATED
Uniform,HN-014,Forearm,184,184.0,ELEVATED,NOMINAL
Uniform,HN-014,Forearm,206,206.0,NOMINAL,ELEVATED
Uniform,HN-014,Forearm,275,275.0,ELEVATED,NOMINAL
Uniform,HN-015,Torso,19,19.0,RELAXED,NOMINAL
Uniform,HN-015,Torso,67,67.0,NOMINAL,RELAXED
Uniform,HN-015,Torso,228,228.0,RELAXED,NOMINAL
Uniform,HN-016,Torso,231,231.0,NOMINAL,ELEVATED
Uniform,HN-016,Torso,253,253.0,ELEVATED,NOMINAL
Uniform,HN-016,Torso,263,263.0,NOMINAL,ELEVATED
Uniform,HN-019,Torso,74,74.0,RELAXED,NOMINAL
Uniform,HN-019,Torso,118,118.0,NOMINAL,RELAXED
Uniform,HN-019,Torso,141,141.0,RELAXED,NOMINAL
Uniform,HN-019,Torso,226,226.0,NOMINAL,RELAXED
Uniform,HN-019,Torso,259,259.0,RELAXED,NOMINAL
Uniform,HN-020,Torso,8,8.0,NOMINAL,RELAXED
Uniform,HN-020,Torso,139,139.0,RELAXED,NOMINAL
Uniform,HN-020,Torso,180,180.0,NOMINAL,RELAXED
Uniform,HN-021,Leg,39,39.0,RELAXED,NOMINAL
Uniform,HN-021,Leg,57,57.0,NOMINAL,RELAXED
Uniform,HN-021,Leg,237,237.0,RELAXED,NOMINAL
Uniform,HN-022,Leg,14,14.0,NOMINAL,RELAXED
Uniform,HN-022,Leg,159,159.0,RELAXED,NOMINAL
Uniform,HN-022,Leg,229,229.0,NOMINAL,RELAXED
Uniform,HN-022,Leg,271,271.0,RELAXED,NOMINAL
Uniform,HN-022,Leg,282,282.0,NOMINAL,RELAXED
Uniform,HN-024,Leg,27,27.0,RELAXED,NOMINAL
Uniform,HN-024,Leg,38,38.0,NOMINAL,RELAXED
Uniform,HN-024,Leg,112,112.0,RELAXED,NOMINAL
Uniform,HN-024,Leg,168,168.0,NOMINAL,RELAXED
Uniform,HN-024,Leg,226,226.0,RELAXED,NOMINAL
Uniform,HN-024,Leg,237,237.0,NOMINAL,RELAXED
Uniform,HN-025,Leg,16,16.0,NOMINAL,RELAXED
Uniform,HN-025,Leg,75,75.0,RELAXED,NOMINAL
Uniform,HN-027,Foot,144,144.0,NOMINAL,RELAXED
Uniform,HN-027,Foot,154,154.0,RELAXED,NOMINAL
Uniform,HN-027,Foot,250,250.0,NOMINAL,RELAXED
Uniform,HN-027,Foot,276,276.0,RELAXED,NOMINAL
Uniform,HN-028,Foot,154,154.0,NOMINAL,ELEVATED
